"aenm","code","id","activity","status"
"ACEA_ER_80hr","C84742",87,-1.2233504656547,1
"ACEA_ER_80hr","C85687",88,10.4086798569733,1
"ACEA_ER_80hr","C88062",89,3.49956597917166,1
"ACEA_ER_80hr","C95954",90,-2.68711312838103,1
"ATG_Ahr_CIS_dn","C106467",91,-0.0738747877186384,0
"ATG_Ahr_CIS_dn","C117817",92,-0.252008140270161,0
"ATG_Ahr_CIS_dn","C117840",93,0.199682380968619,0
"ATG_Ahr_CIS_dn","C120832",94,0.0878691704387803,0
"ATG_Ahr_CIS_dn","C121755",95,-0.304657626399095,0
"ATG_Ahr_CIS_dn","C131577",96,0.00433947219946794,0
"ATG_Ahr_CIS_dn","C131704",97,0.143869907886978,0
"ATG_Ahr_CIS_dn","C2528167",98,0.303706341018938,0
"ATG_Ahr_CIS_dn","C2921882",99,-0.366233395887355,0
"ATG_Ahr_CIS_dn","C298066",100,0.054166199591754,0
"ATG_Ahr_CIS_dn","C3380345",101,-0.0836245149323599,0
"ATG_Ahr_CIS_dn","C35065271",102,0,0
"ATG_Ahr_CIS_dn","C39515418",103,-0.116006188369584,0
"ATG_Ahr_CIS_dn","C4376209",104,-0.0284380274603413,0
"ATG_Ahr_CIS_dn","C50293",105,0.0423397549848989,0
"ATG_Ahr_CIS_dn","C52315078",106,-0.150280684743336,0
"ATG_Ahr_CIS_dn","C52645531",107,-0.224739157510099,0
"ATG_Ahr_CIS_dn","C52918635",108,-0.0341184461288523,0
"ATG_Ahr_CIS_dn","C583788",109,0.224919938259599,0
"ATG_Ahr_CIS_dn","C6515384",110,-1.16461145590938,1
"ATG_Ahr_CIS_dn","C68359375",111,-0.304516613650928,0
"ATG_Ahr_CIS_dn","C72559",112,0.170086227892392,0
"ATG_Ahr_CIS_dn","C80057",113,-0.203208514208792,0
"ATG_Ahr_CIS_dn","C813785",114,0,0
"ATG_Ahr_CIS_dn","C84662",115,NA,NA
"ATG_Ahr_CIS_dn","C84695",116,-0.153847198347075,0
"ATG_Ahr_CIS_dn","C84742",117,-0.246549912685582,0
"ATG_Ahr_CIS_dn","C85687",118,-0.112897577472422,0
"ATG_Ahr_CIS_dn","C88062",119,-0.450346810819262,0
"ATG_Ahr_CIS_dn","C95954",120,0.185302802332262,0
"ATG_Ahr_CIS_up","C106467",121,0.0738747877186383,0
"ATG_Ahr_CIS_up","C117817",122,0.252008140270161,0
"ATG_Ahr_CIS_up","C117840",123,-0.199682380968619,0
"ATG_Ahr_CIS_up","C120832",124,-0.0878691704387803,0
"ATG_Ahr_CIS_up","C121755",125,0.304657626399095,0
"ATG_Ahr_CIS_up","C131577",126,-0.00433947219946788,0
"ATG_Ahr_CIS_up","C131704",127,-0.143869907886978,0
"ATG_Ahr_CIS_up","C2528167",128,-0.303706341018938,0
"ATG_Ahr_CIS_up","C2921882",129,0.366233395887355,0
"ATG_Ahr_CIS_up","C298066",130,-0.054166199591754,0
"ATG_Ahr_CIS_up","C3380345",131,0.0836245149323599,0
"ATG_Ahr_CIS_up","C35065271",132,0,0
"ATG_Ahr_CIS_up","C39515418",133,0.116006188369584,0
"ATG_Ahr_CIS_up","C4376209",134,0.0284380274603413,0
"ATG_Ahr_CIS_up","C50293",135,-0.0423397549848989,0
"ATG_Ahr_CIS_up","C52315078",136,0.150280684743336,0
"ATG_Ahr_CIS_up","C52645531",137,0.224739157510098,0
"ATG_Ahr_CIS_up","C52918635",138,0.0341184461288523,0
"ATG_Ahr_CIS_up","C583788",139,-0.224919938259599,0
"ATG_Ahr_CIS_up","C6515384",140,1.16461145590938,1
"ATG_Ahr_CIS_up","C68359375",141,0.304516613650928,0
"ATG_Ahr_CIS_up","C72559",142,-0.170086227892392,0
"ATG_Ahr_CIS_up","C80057",143,0.203208514208792,0
"ATG_Ahr_CIS_up","C813785",144,0,0
"ATG_Ahr_CIS_up","C84662",145,NA,NA
"ATG_Ahr_CIS_up","C84695",146,0.153847198347075,0
"ATG_Ahr_CIS_up","C84742",147,0.246549912685582,0
"ATG_Ahr_CIS_up","C85687",148,0.112897577472422,0
"ATG_Ahr_CIS_up","C88062",149,0.450346810819262,0
"ATG_Ahr_CIS_up","C95954",150,-0.185302802332262,0
"ATG_AR_TRANS_up","C106467",151,-0.00533147991640731,0
"ATG_AR_TRANS_up","C117817",152,0.0312658798805428,0
"ATG_AR_TRANS_up","C117840",153,-0.12801532292962,0
"ATG_AR_TRANS_up","C120832",154,0.0785265201236767,0
"ATG_AR_TRANS_up","C121755",155,-0.0182716559757604,0
"ATG_AR_TRANS_up","C131577",156,0.122070865365271,0
"ATG_AR_TRANS_up","C131704",157,0.0807284764073369,0
"ATG_AR_TRANS_up","C2528167",158,0.076107665341508,0
"ATG_AR_TRANS_up","C2921882",159,-0.0480584506090104,0
"ATG_AR_TRANS_up","C298066",160,0.142161979125668,0
"ATG_AR_TRANS_up","C3380345",161,0.0497972679616757,0
"ATG_AR_TRANS_up","C35065271",162,0,0
"ATG_AR_TRANS_up","C39515418",163,-0.109834320479453,0
"ATG_AR_TRANS_up","C4376209",164,0.0500522056298928,0
"ATG_AR_TRANS_up","C50293",165,0.225933462887779,0
"ATG_AR_TRANS_up","C52315078",166,-0.121584245142249,0
"ATG_AR_TRANS_up","C52645531",167,-0.0538987463955352,0
"ATG_AR_TRANS_up","C52918635",168,0.0748078388505244,0
"ATG_AR_TRANS_up","C583788",169,0.0745824957916725,0
"ATG_AR_TRANS_up","C6515384",170,0.0654990239472797,0
"ATG_AR_TRANS_up","C68359375",171,-0.0882135674993969,0
"ATG_AR_TRANS_up","C72559",172,0.118614269596309,0
"ATG_AR_TRANS_up","C80057",173,0.0500711200633254,0
"ATG_AR_TRANS_up","C813785",174,0,0
"ATG_AR_TRANS_up","C84662",175,NA,NA
"ATG_AR_TRANS_up","C84695",176,-0.0740703301089229,0
"ATG_AR_TRANS_up","C84742",177,-0.0110285095157269,0
"ATG_AR_TRANS_up","C85687",178,-0.0787616390374047,0
"ATG_AR_TRANS_up","C88062",179,0.0340876833174257,0
"ATG_AR_TRANS_up","C95954",180,0.157462175079899,0
"ATG_C_EBP_CIS_dn","C106467",181,0.0429153766853921,0
"ATG_C_EBP_CIS_dn","C117817",182,-0.171385899437465,0
"ATG_C_EBP_CIS_dn","C117840",183,0.00479743964414809,0
"ATG_C_EBP_CIS_dn","C120832",184,-0.0671427453826435,0
"ATG_C_EBP_CIS_dn","C121755",185,-0.0859822733006425,0
"ATG_C_EBP_CIS_dn","C131577",186,0.00166356200312203,0
"ATG_C_EBP_CIS_dn","C131704",187,-0.119886962614488,0
"ATG_C_EBP_CIS_dn","C2528167",188,0.00851780307200981,0
"ATG_C_EBP_CIS_dn","C2921882",189,-0.0634381876378813,0
"ATG_C_EBP_CIS_dn","C298066",190,-0.00736279748962498,0
"ATG_C_EBP_CIS_dn","C3380345",191,-0.0692423954829541,0
"ATG_C_EBP_CIS_dn","C35065271",192,0,0
"ATG_C_EBP_CIS_dn","C39515418",193,-0.15882248484042,0
"ATG_C_EBP_CIS_dn","C4376209",194,-0.092777266863838,0
"ATG_C_EBP_CIS_dn","C50293",195,-0.0821658217819461,0
"ATG_C_EBP_CIS_dn","C52315078",196,-0.205839542892952,0
"ATG_C_EBP_CIS_dn","C52645531",197,-0.186256470053492,0
"ATG_C_EBP_CIS_dn","C52918635",198,0.0338449578564558,0
"ATG_C_EBP_CIS_dn","C583788",199,-0.0223930221205343,0
"ATG_C_EBP_CIS_dn","C6515384",200,0.0265220766424374,0
"ATG_C_EBP_CIS_dn","C68359375",201,-0.134933241885253,0
"ATG_C_EBP_CIS_dn","C72559",202,-0.050582719455495,0
"ATG_C_EBP_CIS_dn","C80057",203,-0.0216833492281427,0
"ATG_C_EBP_CIS_dn","C813785",204,0,0
"ATG_C_EBP_CIS_dn","C84662",205,NA,NA
"ATG_C_EBP_CIS_dn","C84695",206,-0.059879618619739,0
"ATG_C_EBP_CIS_dn","C84742",207,-0.0371935989724912,0
"ATG_C_EBP_CIS_dn","C85687",208,-0.00587080531690816,0
"ATG_C_EBP_CIS_dn","C88062",209,0.0151058979343023,0
"ATG_C_EBP_CIS_dn","C95954",210,-0.212467606365616,0
"ATG_C_EBP_CIS_up","C106467",211,-0.0429153766853921,0
"ATG_C_EBP_CIS_up","C117817",212,0.171385899437464,0
"ATG_C_EBP_CIS_up","C117840",213,-0.00479743964414809,0
"ATG_C_EBP_CIS_up","C120832",214,0.0671427453826435,0
"ATG_C_EBP_CIS_up","C121755",215,0.0859822733006425,0
"ATG_C_EBP_CIS_up","C131577",216,-0.00166356200312204,0
"ATG_C_EBP_CIS_up","C131704",217,0.119886962614488,0
"ATG_C_EBP_CIS_up","C2528167",218,-0.00851780307200981,0
"ATG_C_EBP_CIS_up","C2921882",219,0.0634381876378814,0
"ATG_C_EBP_CIS_up","C298066",220,0.00736279748962499,0
"ATG_C_EBP_CIS_up","C3380345",221,0.0692423954829541,0
"ATG_C_EBP_CIS_up","C35065271",222,0,0
"ATG_C_EBP_CIS_up","C39515418",223,0.15882248484042,0
"ATG_C_EBP_CIS_up","C4376209",224,0.092777266863838,0
"ATG_C_EBP_CIS_up","C50293",225,0.0821658217819462,0
"ATG_C_EBP_CIS_up","C52315078",226,0.205839542892952,0
"ATG_C_EBP_CIS_up","C52645531",227,0.186256470053492,0
"ATG_C_EBP_CIS_up","C52918635",228,-0.0338449578564558,0
"ATG_C_EBP_CIS_up","C583788",229,0.0223930221205343,0
"ATG_C_EBP_CIS_up","C6515384",230,-0.0265220766424374,0
"ATG_C_EBP_CIS_up","C68359375",231,0.134933241885253,0
"ATG_C_EBP_CIS_up","C72559",232,0.050582719455495,0
"ATG_C_EBP_CIS_up","C80057",233,0.0216833492281427,0
"ATG_C_EBP_CIS_up","C813785",234,0,0
"ATG_C_EBP_CIS_up","C84662",235,NA,NA
"ATG_C_EBP_CIS_up","C84695",236,0.0598796186197389,0
"ATG_C_EBP_CIS_up","C84742",237,0.0371935989724912,0
"ATG_C_EBP_CIS_up","C85687",238,0.00587080531690817,0
"ATG_C_EBP_CIS_up","C88062",239,-0.0151058979343023,0
"ATG_C_EBP_CIS_up","C95954",240,0.212467606365616,0
"ATG_CAR_TRANS_dn","C106467",241,-0.0498418275482683,0
"ATG_CAR_TRANS_dn","C117817",242,-0.220684100797941,0
"ATG_CAR_TRANS_dn","C117840",243,-0.193901207529116,0
"ATG_CAR_TRANS_dn","C120832",244,0.1116191277426,0
"ATG_CAR_TRANS_dn","C121755",245,-0.0555999784088619,0
"ATG_CAR_TRANS_dn","C131577",246,0.124599347702929,0
"ATG_CAR_TRANS_dn","C131704",247,-0.150154815166765,0
"ATG_CAR_TRANS_dn","C2528167",248,-0.025639442204719,0
"ATG_CAR_TRANS_dn","C2921882",249,-0.25083489024252,0
"ATG_CAR_TRANS_dn","C298066",250,-0.0153835198837194,0
"ATG_CAR_TRANS_dn","C3380345",251,-0.00480937533352935,0
"ATG_CAR_TRANS_dn","C35065271",252,0,0
"ATG_CAR_TRANS_dn","C39515418",253,-0.225593504152981,0
"ATG_CAR_TRANS_dn","C4376209",254,-0.0325329983009592,0
"ATG_CAR_TRANS_dn","C50293",255,-0.37440946240358,0
"ATG_CAR_TRANS_dn","C52315078",256,-0.121983479141769,0
"ATG_CAR_TRANS_dn","C52645531",257,-0.263655604649116,0
"ATG_CAR_TRANS_dn","C52918635",258,-0.184761336118386,0
"ATG_CAR_TRANS_dn","C583788",259,0.0619978099409026,0
"ATG_CAR_TRANS_dn","C6515384",260,-0.187035958738584,0
"ATG_CAR_TRANS_dn","C68359375",261,-0.0761388618911517,0
"ATG_CAR_TRANS_dn","C72559",262,-0.0545412518145151,0
"ATG_CAR_TRANS_dn","C80057",263,0.196903405059371,0
"ATG_CAR_TRANS_dn","C813785",264,0,0
"ATG_CAR_TRANS_dn","C84662",265,NA,NA
"ATG_CAR_TRANS_dn","C84695",266,-0.0459162468624551,0
"ATG_CAR_TRANS_dn","C84742",267,-0.0785059645093128,0
"ATG_CAR_TRANS_dn","C85687",268,-0.226739617465566,0
"ATG_CAR_TRANS_dn","C88062",269,0.00331147396370422,0
"ATG_CAR_TRANS_dn","C95954",270,0.0788025443549837,0
"ATG_CAR_TRANS_up","C106467",271,0.0498418275482683,0
"ATG_CAR_TRANS_up","C117817",272,0.220684100797941,0
"ATG_CAR_TRANS_up","C117840",273,0.193901207529116,0
"ATG_CAR_TRANS_up","C120832",274,-0.1116191277426,0
"ATG_CAR_TRANS_up","C121755",275,0.0555999784088618,0
"ATG_CAR_TRANS_up","C131577",276,-0.12459934770293,0
"ATG_CAR_TRANS_up","C131704",277,0.150154815166765,0
"ATG_CAR_TRANS_up","C2528167",278,0.025639442204719,0
"ATG_CAR_TRANS_up","C2921882",279,0.25083489024252,0
"ATG_CAR_TRANS_up","C298066",280,0.0153835198837194,0
"ATG_CAR_TRANS_up","C3380345",281,0.00480937533352937,0
"ATG_CAR_TRANS_up","C35065271",282,0,0
"ATG_CAR_TRANS_up","C39515418",283,0.225593504152981,0
"ATG_CAR_TRANS_up","C4376209",284,0.0325329983009593,0
"ATG_CAR_TRANS_up","C50293",285,0.37440946240358,0
"ATG_CAR_TRANS_up","C52315078",286,0.121983479141769,0
"ATG_CAR_TRANS_up","C52645531",287,0.263655604649116,0
"ATG_CAR_TRANS_up","C52918635",288,0.184761336118386,0
"ATG_CAR_TRANS_up","C583788",289,-0.0619978099409026,0
"ATG_CAR_TRANS_up","C6515384",290,0.187035958738584,0
"ATG_CAR_TRANS_up","C68359375",291,0.0761388618911517,0
"ATG_CAR_TRANS_up","C72559",292,0.0545412518145152,0
"ATG_CAR_TRANS_up","C80057",293,-0.196903405059371,0
"ATG_CAR_TRANS_up","C813785",294,0,0
"ATG_CAR_TRANS_up","C84662",295,NA,NA
"ATG_CAR_TRANS_up","C84695",296,0.0459162468624551,0
"ATG_CAR_TRANS_up","C84742",297,0.0785059645093128,0
"ATG_CAR_TRANS_up","C85687",298,0.226739617465566,0
"ATG_CAR_TRANS_up","C88062",299,-0.00331147396370421,0
"ATG_CAR_TRANS_up","C95954",300,-0.0788025443549837,0
"ATG_ERa_TRANS_up","C106467",301,0.0014405657782091,0
"ATG_ERa_TRANS_up","C117817",302,0.067451923001723,0
"ATG_ERa_TRANS_up","C117840",303,0.0297577283138666,0
"ATG_ERa_TRANS_up","C120832",304,1.00215010265385,1
"ATG_ERa_TRANS_up","C121755",305,0.650008207145236,0
"ATG_ERa_TRANS_up","C131577",306,0.619941167505328,0
"ATG_ERa_TRANS_up","C131704",307,0.17055851577023,0
"ATG_ERa_TRANS_up","C2528167",308,-0.111870321751095,0
"ATG_ERa_TRANS_up","C2921882",309,0.876139088564204,0
"ATG_ERa_TRANS_up","C298066",310,0.0135188884470039,0
"ATG_ERa_TRANS_up","C3380345",311,0.189795687544852,0
"ATG_ERa_TRANS_up","C35065271",312,0,0
"ATG_ERa_TRANS_up","C39515418",313,0.639930935659607,0
"ATG_ERa_TRANS_up","C4376209",314,0.106623619692511,0
"ATG_ERa_TRANS_up","C50293",315,1.69690518653293,1
"ATG_ERa_TRANS_up","C52315078",316,0.661765660307322,0
"ATG_ERa_TRANS_up","C52645531",317,0.717417682518128,0
